"number","week","datum","title","description",
1,"2","8-9-2025","Local development setup","Docker en structuur instellen, IDE inrichten voor gebruik met WordPress, localhost inclusief database starten",
2,"3","8-9-2025","Custom theme","Welke front-end gebruik je, NPM Compilers instellen, Cache negeren in frontend en in php-fpm",
3,"4","15-9-2025","Deployment","Keuze van hosting, deployment methodes, inrichten van hosting en CI/CD flow",
4,"5","15-9-2025","Inloggen zonder admin account","Wat als je van je klant alleen ftp gegevens krijgt, hoe kom je dan bij de database en wp-admin",
5,"6","22-9-2025","Plugin ontwikkelen","Maak een custom plugin om pagina's af te schermen en mails te versturen bij updates",
6,"7","22-9-2025","Custom post types","Implementatie van custom portfolio type",
7,"8","29-9-2025","Testing","Hoe test je een website en implementeer je een test flow",
8,"9","29-9-2025","Presentatie","Laatste les voor de afronding van dit project zodat je op stage kunt",
